"filename", "language", "CSS", "JSON", "JavaScript", "TypeScript", "YAML", "Markdown", "HTML", "SCSS", "comment", "blank", "total"
"c:\JPEG_algorithm\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 28
"c:\JPEG_algorithm\_config.yml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\JPEG_algorithm\angular.json", "JSON", 0, 128, 0, 0, 0, 0, 0, 0, 24, 0, 152
"c:\JPEG_algorithm\e2e\protractor.conf.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 6, 2, 37
"c:\JPEG_algorithm\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\JPEG_algorithm\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\JPEG_algorithm\e2e\tsconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\JPEG_algorithm\karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 6, 2, 45
"c:\JPEG_algorithm\package-lock.json", "JSON", 0, 20738, 0, 0, 0, 0, 0, 0, 0, 1, 20739
"c:\JPEG_algorithm\package.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\JPEG_algorithm\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\JPEG_algorithm\src\app\app.component.css", "CSS", 47, 0, 0, 0, 0, 0, 0, 0, 1, 7, 55
"c:\JPEG_algorithm\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 7, 20
"c:\JPEG_algorithm\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\JPEG_algorithm\src\app\app.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 21
"c:\JPEG_algorithm\src\app\app.module.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 1, 10, 70
"c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.css", "CSS", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 10, 25
"c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.css", "CSS", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.html", "HTML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.css", "CSS", 244, 0, 0, 0, 0, 0, 0, 0, 22, 58, 324
"c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.html", "HTML", 0, 0, 0, 0, 0, 0, 144, 0, 0, 5, 149
"c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.css", "CSS", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
