Date : 2021-06-01 21:36:32
Directory : c:\JPEG_algorithm
Total : 91 files,  28475 codes, 1169 comments, 1327 blanks, all 30971 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     21,162 |         28 |          7 |     21,197 |
| JavaScript |         13 |      5,046 |        951 |        916 |      6,913 |
| HTML       |         15 |        825 |         75 |         38 |        938 |
| TypeScript |         38 |        780 |         91 |        250 |      1,121 |
| CSS        |         13 |        451 |         24 |         96 |        571 |
| SCSS       |          2 |        199 |          0 |         13 |        212 |
| Markdown   |          1 |         11 |          0 |          7 |         18 |
| YAML       |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         91 |     28,475 |      1,169 |      1,327 |     30,971 |
| e2e                                                                                        |          4 |         68 |          8 |         11 |         87 |
| e2e\src                                                                                    |          2 |         27 |          1 |          8 |         36 |
| src                                                                                        |         77 |      7,208 |      1,128 |      1,301 |      9,637 |
| src\app                                                                                    |         59 |      2,176 |        116 |        360 |      2,652 |
| src\app\components                                                                         |         52 |      2,000 |        110 |        313 |      2,423 |
| src\app\components\auth-button                                                             |          4 |         83 |          0 |         20 |        103 |
| src\app\components\comparisonimage                                                         |          4 |         79 |          0 |         16 |         95 |
| src\app\components\deadlineanimation                                                       |          4 |        421 |         22 |         76 |        519 |
| src\app\components\drop                                                                    |          4 |        335 |         12 |         42 |        389 |
| src\app\components\drop-and-drag                                                           |          4 |         91 |          0 |         19 |        110 |
| src\app\components\footer                                                                  |          4 |        205 |         60 |         26 |        291 |
| src\app\components\home                                                                    |          4 |         55 |          1 |         20 |         76 |
| src\app\components\image-compress                                                          |          4 |         84 |          8 |         12 |        104 |
| src\app\components\inputimage                                                              |          4 |        106 |          2 |         21 |        129 |
| src\app\components\navbar                                                                  |          4 |         85 |          2 |         14 |        101 |
| src\app\components\outputimage                                                             |          4 |        117 |          3 |         20 |        140 |
| src\app\components\settings                                                                |          4 |        186 |          0 |         13 |        199 |
| src\app\components\sharebutton                                                             |          4 |        153 |          0 |         14 |        167 |
| src\assets                                                                                 |         11 |      4,980 |        939 |        912 |      6,831 |
| src\assets\dist                                                                            |          4 |      1,892 |        561 |        462 |      2,915 |
| src\assets\js                                                                              |          7 |      3,088 |        378 |        450 |      3,916 |
| src\environments                                                                           |          2 |          9 |         11 |          8 |         28 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\JPEG_algorithm\README.md                                                                | Markdown   |         11 |          0 |          7 |         18 |
| c:\JPEG_algorithm\_config.yml                                                              | YAML       |          1 |          0 |          0 |          1 |
| c:\JPEG_algorithm\angular.json                                                             | JSON       |        127 |         24 |          0 |        151 |
| c:\JPEG_algorithm\e2e\protractor.conf.js                                                   | JavaScript |         29 |          6 |          2 |         37 |
| c:\JPEG_algorithm\e2e\src\app.e2e-spec.ts                                                  | TypeScript |         18 |          1 |          5 |         24 |
| c:\JPEG_algorithm\e2e\src\app.po.ts                                                        | TypeScript |          9 |          0 |          3 |         12 |
| c:\JPEG_algorithm\e2e\tsconfig.json                                                        | JSON       |         12 |          1 |          1 |         14 |
| c:\JPEG_algorithm\karma.conf.js                                                            | JavaScript |         37 |          6 |          2 |         45 |
| c:\JPEG_algorithm\package-lock.json                                                        | JSON       |     20,743 |          0 |          1 |     20,744 |
| c:\JPEG_algorithm\package.json                                                             | JSON       |         68 |          0 |          1 |         69 |
| c:\JPEG_algorithm\src\app\app-routing.module.ts                                            | TypeScript |         11 |          0 |          5 |         16 |
| c:\JPEG_algorithm\src\app\app.component.css                                                | CSS        |         47 |          1 |          7 |         55 |
| c:\JPEG_algorithm\src\app\app.component.html                                               | HTML       |         10 |          4 |          8 |         22 |
| c:\JPEG_algorithm\src\app\app.component.spec.ts                                            | TypeScript |         31 |          0 |          5 |         36 |
| c:\JPEG_algorithm\src\app\app.component.ts                                                 | TypeScript |         10 |          0 |         11 |         21 |
| c:\JPEG_algorithm\src\app\app.module.ts                                                    | TypeScript |         59 |          1 |         10 |         70 |
| c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.css                 | CSS        |         34 |          0 |          1 |         35 |
| c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.html                | HTML       |         14 |          0 |          3 |         17 |
| c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\auth-button\auth-button.component.ts                  | TypeScript |         15 |          0 |         10 |         25 |
| c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.css         | CSS        |         20 |          0 |          4 |         24 |
| c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.html        | HTML       |         28 |          0 |          1 |         29 |
| c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.spec.ts     | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\comparisonimage\comparisonimage.component.ts          | TypeScript |         11 |          0 |          5 |         16 |
| c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.css     | CSS        |        244 |         22 |         58 |        324 |
| c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.html    | HTML       |        144 |          0 |          5 |        149 |
| c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\deadlineanimation\deadlineanimation.component.ts      | TypeScript |         13 |          0 |          7 |         20 |
| c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.css             | CSS        |         43 |          0 |          5 |         48 |
| c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.html            | HTML       |         15 |          0 |          1 |         16 |
| c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.spec.ts         | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.ts              | TypeScript |         13 |          0 |          7 |         20 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.css                               | CSS        |         63 |          0 |         14 |         77 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.html                              | HTML       |        159 |          2 |          7 |        168 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.spec.ts                           | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.ts                                | TypeScript |         93 |         10 |         15 |        118 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.html                          | HTML       |         76 |         60 |          5 |        141 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.scss                          | SCSS       |         98 |          0 |         10 |        108 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.spec.ts                       | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.ts                            | TypeScript |         11 |          0 |          5 |         16 |
